"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","263694","4660","165153","5023","98541","4145",
"310M200US16020","Cape Girardeau, MO-IL Metro Area","35273","1427","26295","1605","8978","1106",
"310M200US16060","Carbondale-Marion, IL Metro Area","48012","1921","34875","1862","13137","1246",
"310M200US16180","Carson City, NV Metro Area","22687","574","16116","891","6571","811",
"310M200US16220","Casper, WY Metro Area","32564","947","26287","1050","6277","874",
"310M200US16300","Cedar Rapids, IA Metro Area","107586","1893","86370","2104","21216","1494",
"310M200US16500","Centralia, WA Micro Area","29078","969","19616","1158","9462","929",
"310M200US16540","Chambersburg-Waynesboro, PA Metro Area","59486","1161","45837","1567","13649","1225",
"310M200US16580","Champaign-Urbana, IL Metro Area","92268","2283","72658","2353","19610","1682",
"310M200US16620","Charleston, WV Metro Area","94533","1986","65028","2318","29505","1991",
"310M200US16660","Charleston-Mattoon, IL Micro Area","25262","1119","18602","1165","6660","958",
"310M200US16700","Charleston-North Charleston, SC Metro Area","273722","3681","216124","4623","57598","3092",
"310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","905696","5853","732182","6599","173514","4651",
"310M200US16820","Charlottesville, VA Metro Area","87949","2157","70800","2314","17149","1848",
"310M200US16860","Chattanooga, TN-GA Metro Area","209340","3591","155817","3424","53523","2631",
"310M200US16940","Cheyenne, WY Metro Area","37740","1520","29861","1689","7879","1130",
"310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","3470993","10529","2789467","13690","681526","9020",
"310M200US17020","Chico, CA Metro Area","85289","2059","60960","2263","24329","1866",
"310M200US17060","Chillicothe, OH Micro Area","28324","1020","20327","1145","7997","806",
"310M200US17140","Cincinnati, OH-KY-IN Metro Area","832607","5850","655730","7667","176877","5470",
"310M200US17200","Claremont-Lebanon, NH-VT Micro Area","89204","2278","67803","2271","21401","1444",
"310M200US17220","Clarksburg, WV Micro Area","35855","1523","23647","1600","12208","1177",
"310M200US17300","Clarksville, TN-KY Metro Area","101265","2236","84320","2250","16945","1307",
"310M200US17340","Clearlake, CA Micro Area","26335","1332","17426","1597","8909","1338",
"310M200US17420","Cleveland, TN Metro Area","46389","1514","33513","2005","12876","1432",
"310M200US17460","Cleveland-Elyria, OH Metro Area","849475","5431","633798","6305","215677","4979",
"310M200US17660","Coeur d'Alene, ID Metro Area","58675","1631","43023","2136","15652","1567",
"310M200US17780","College Station-Bryan, TX Metro Area","90526","2295","76081","2802","14445","1619",
"310M200US17820","Colorado Springs, CO Metro Area","261435","2374","213895","3438","47540","2438",
"310M200US17860","Columbia, MO Metro Area","69152","1484","57386","2000","11766","1433",
"310M200US17900","Columbia, SC Metro Area","302634","3665","236319","4677","66315","3178",
"310M200US17980","Columbus, GA-AL Metro Area","112983","2515","83754","2842","29229","2338",
"310M200US18020","Columbus, IN Metro Area","31131","983","24613","1273","6518","904",
"310M200US18140","Columbus, OH Metro Area","772304","4925","627730","5888","144574","4359",
"310M200US18180","Concord, NH Micro Area","55235","1560","43199","1634","12036","1114",
"310M200US18260","Cookeville, TN Micro Area","43626","1500","29677","1725","13949","1574",
"310M200US18300","Coos Bay, OR Micro Area","26364","1321","16449","1497","9915","957",
"310M200US18500","Corning, NY Micro Area","39517","1110","28301","1283","11216","901",
"310M200US18580","Corpus Christi, TX Metro Area","161634","2830","127927","3620","33707","2454",
"310M200US18700","Corvallis, OR Metro Area","35062","1071","25990","1316","9072","1004",
"310M200US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","102729","2975","78319","3253","24410","2266",
"310M200US18980","Cullman, AL Micro Area","30798","1373","20435","1624","10363","1173",
