Year,Month,CPI,Series Name,Geo Name,Annual Earnings per Household
2023,3,"Washington, DC",2283.0367027978946,2384977,3.3530000000000000
2023,3,"Washington, DC",2283.0367027978946,2422671,3.3530000000000000
2023,4,"Atlanta, GA",1928.191130879493,2277482,3.3250000000000000
2023,4,"Atlanta, GA",1928.191130879493,2311639,3.3250000000000000
2023,4,"Baltimore, MD",1789.611669919511,1117510,3.5250000000000000
2023,4,"Baltimore, MD",1789.611669919511,1126216,3.5250000000000000
2023,4,"Boston, MA",2935.8516685871714,1920160,3.4090000000000000
2023,4,"Boston, MA",2935.8516685871714,1948354,3.4090000000000000
2023,4,"Chicago, IL",1975.537705298552,3670416,4.1690000000000000
2023,4,"Chicago, IL",1975.537705298552,3726266,4.1690000000000000
2023,4,"Dallas, TX",1804.8197496370756,2836892,3.3540000000000000
2023,4,"Dallas, TX",1804.8197496370756,2908436,3.3540000000000000
2023,4,"Denver, CO",2012.4750249635545,1192117,3.4380000000000000
2023,4,"Denver, CO",2012.4750249635545,1223825,3.4380000000000000
2023,4,"Detroit, MI",1391.665922872119,1759573,3.5520000000000000
2023,4,"Detroit, MI",1391.665922872119,1762104,3.5520000000000000
2023,4,"Houston, TX",1674.9036127388024,2601401,3.2110000000000000
2023,4,"Houston, TX",1674.9036127388024,2682645,3.2110000000000000
2023,4,"Los Angeles, CA",2877.1647594603146,4452780,4.8920000000000000
2023,4,"Los Angeles, CA",2877.1647594603146,4500951,4.8920000000000000
2023,4,"Miami, FL",2729.207432802329,2306639,3.6380000000000000
2023,4,"Miami, FL",2729.207432802329,2344046,3.6380000000000000
2023,4,"Minneapolis, MN",1617.6096783309763,1453400,3.5210000000000000
2023,4,"Minneapolis, MN",1617.6096783309763,1483453,3.5210000000000000
2023,4,"New York, NY",3272.23863880114,7347700,3.5270000000000000
2023,4,"New York, NY",3272.23863880114,7478571,3.5270000000000000
2023,4,"Philadelphia, PA",1807.895520706209,2442868,3.5690000000000000
2023,4,"Philadelphia, PA",1807.895520706209,2483863,3.5690000000000000
2023,4,"Phoenix, AZ",1863.8945966346864,1863195,4.7960000000000000
2023,4,"Phoenix, AZ",1863.8945966346864,1890835,4.7960000000000000
2023,4,"Riverside, CA",2470.252252089585,1441602,4.8200000000000000
