census_geo_id,census_geo_name
310M200US22420,"Flint, MI Metro Area"
310M200US22500,"Florence, SC Metro Area"
310M200US22520,"Florence-Muscle Shoals, AL Metro Area"
310M200US22540,"Fond du Lac, WI Metro Area"
310M200US22660,"Fort Collins, CO Metro Area"
310M200US22900,"Fort Smith, AR-OK Metro Area"
310M200US23060,"Fort Wayne, IN Metro Area"
310M200US23420,"Fresno, CA Metro Area"
310M200US23460,"Gadsden, AL Metro Area"
310M200US23540,"Gainesville, FL Metro Area"
310M200US23580,"Gainesville, GA Metro Area"
310M200US23900,"Gettysburg, PA Metro Area"
310M200US24020,"Glens Falls, NY Metro Area"
310M200US24140,"Goldsboro, NC Metro Area"
310M200US24220,"Grand Forks, ND-MN Metro Area"
310M200US24260,"Grand Island, NE Metro Area"
310M200US24300,"Grand Junction, CO Metro Area"
310M200US24340,"Grand Rapids-Wyoming, MI Metro Area"
310M200US24420,"Grants Pass, OR Metro Area"
310M200US24500,"Great Falls, MT Metro Area"
310M200US24540,"Greeley, CO Metro Area"
310M200US24580,"Green Bay, WI Metro Area"
310M200US24660,"Greensboro-High Point, NC Metro Area"
310M200US24780,"Greenville, NC Metro Area"
310M200US24860,"Greenville-Anderson-Mauldin, SC Metro Area"
310M200US25020,"Guayama, PR Metro Area"
310M200US25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area"
310M200US25180,"Hagerstown-Martinsburg, MD-WV Metro Area"
310M200US25220,"Hammond, LA Metro Area"
310M200US25260,"Hanford-Corcoran, CA Metro Area"
310M200US25420,"Harrisburg-Carlisle, PA Metro Area"
310M200US25500,"Harrisonburg, VA Metro Area"
310M200US25540,"Hartford-West Hartford-East Hartford, CT Metro Area"
310M200US25620,"Hattiesburg, MS Metro Area"
310M200US25860,"Hickory-Lenoir-Morganton, NC Metro Area"
310M200US25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area"
310M200US25980,"Hinesville, GA Metro Area"
310M200US26140,"Homosassa Springs, FL Metro Area"
310M200US26300,"Hot Springs, AR Metro Area"
310M200US26380,"Houma-Thibodaux, LA Metro Area"
310M200US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area"
310M200US26580,"Huntington-Ashland, WV-KY-OH Metro Area"
310M200US26620,"Huntsville, AL Metro Area"
310M200US26820,"Idaho Falls, ID Metro Area"
310M200US26900,"Indianapolis-Carmel-Anderson, IN Metro Area"
310M200US26980,"Iowa City, IA Metro Area"
310M200US27060,"Ithaca, NY Metro Area"
310M200US27100,"Jackson, MI Metro Area"
310M200US27140,"Jackson, MS Metro Area"
310M200US27180,"Jackson, TN Metro Area"
310M200US27260,"Jacksonville, FL Metro Area"
310M200US27340,"Jacksonville, NC Metro Area"
310M200US27500,"Janesville-Beloit, WI Metro Area"
310M200US27620,"Jefferson City, MO Metro Area"
310M200US27740,"Johnson City, TN Metro Area"
310M200US27780,"Johnstown, PA Metro Area"
310M200US27860,"Jonesboro, AR Metro Area"
310M200US27900,"Joplin, MO Metro Area"
310M200US27980,"Kahului-Wailuku-Lahaina, HI Metro Area"
310M200US28020,"Kalamazoo-Portage, MI Metro Area"
310M200US28100,"Kankakee, IL Metro Area"
310M200US28140,"Kansas City, MO-KS Metro Area"
310M200US28420,"Kennewick-Richland, WA Metro Area"
310M200US28660,"Killeen-Temple, TX Metro Area"
310M200US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area"
310M200US28740,"Kingston, NY Metro Area"
310M200US28940,"Knoxville, TN Metro Area"
310M200US29020,"Kokomo, IN Metro Area"
310M200US29100,"La Crosse-Onalaska, WI-MN Metro Area"
310M200US29180,"Lafayette, LA Metro Area"
310M200US29200,"Lafayette-West Lafayette, IN Metro Area"
310M200US29340,"Lake Charles, LA Metro Area"
310M200US29420,"Lake Havasu City-Kingman, AZ Metro Area"
310M200US29460,"Lakeland-Winter Haven, FL Metro Area"
310M200US29540,"Lancaster, PA Metro Area"
310M200US29620,"Lansing-East Lansing, MI Metro Area"
310M200US29700,"Laredo, TX Metro Area"
310M200US29740,"Las Cruces, NM Metro Area"
310M200US29820,"Las Vegas-Henderson-Paradise, NV Metro Area"
310M200US29940,"Lawrence, KS Metro Area"
310M200US30020,"Lawton, OK Metro Area"
310M200US30140,"Lebanon, PA Metro Area"
310M200US30300,"Lewiston, ID-WA Metro Area"
310M200US30340,"Lewiston-Auburn, ME Metro Area"
310M200US30460,"Lexington-Fayette, KY Metro Area"
310M200US30620,"Lima, OH Metro Area"
310M200US30700,"Lincoln, NE Metro Area"
310M200US30780,"Little Rock-North Little Rock-Conway, AR Metro Area"
310M200US30860,"Logan, UT-ID Metro Area"
310M200US30980,"Longview, TX Metro Area"
310M200US31020,"Longview, WA Metro Area"
310M200US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
310M200US31140,"Louisville/Jefferson County, KY-IN Metro Area"
310M200US31180,"Lubbock, TX Metro Area"
310M200US31340,"Lynchburg, VA Metro Area"
310M200US31420,"Macon, GA Metro Area"
310M200US31460,"Madera, CA Metro Area"
310M200US31540,"Madison, WI Metro Area"
310M200US31700,"Manchester-Nashua, NH Metro Area"
310M200US31740,"Manhattan, KS Metro Area"
310M200US31860,"Mankato-North Mankato, MN Metro Area"
310M200US31900,"Mansfield, OH Metro Area"
310M200US32420,"Mayagüez, PR Metro Area"
310M200US32580,"McAllen-Edinburg-Mission, TX Metro Area"
310M200US32780,"Medford, OR Metro Area"
310M200US32820,"Memphis, TN-MS-AR Metro Area"
310M200US32900,"Merced, CA Metro Area"
310M200US33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
310M200US33140,"Michigan City-La Porte, IN Metro Area"
310M200US33220,"Midland, MI Metro Area"
310M200US33260,"Midland, TX Metro Area"
310M200US33340,"Milwaukee-Waukesha-West Allis, WI Metro Area"
