"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M400US10140","Aberdeen, WA Micro Area","27674","1615","18188","1728","9486","1115",
"310M400US10180","Abilene, TX Metro Area","61527","1787","47972","1814","13555","1262",
"310M400US10300","Adrian, MI Micro Area","38388","1194","28500","1372","9888","888",
"310M400US10380","Aguadilla-Isabela, PR Metro Area","109531","3552","55437","2976","54094","2684",
"310M400US10420","Akron, OH Metro Area","287044","3426","220484","3876","66560","3183",
"310M400US10460","Alamogordo, NM Micro Area","23747","1492","16320","1722","7427","1249",
"310M400US10500","Albany, GA Metro Area","56348","2205","42650","2160","13698","1513",
"310M400US10540","Albany, OR Metro Area","48464","952","36042","1476","12422","1394",
"310M400US10580","Albany-Schenectady-Troy, NY Metro Area","353746","4847","272210","5371","81536","3641",
"310M400US10700","Albertville, AL Micro Area","36022","1112","25775","1401","10247","1188",
"310M400US10740","Albuquerque, NM Metro Area","358493","4094","264566","4609","93927","4008",
"310M400US10780","Alexandria, LA Metro Area","55127","2247","39185","2501","15942","1797",
"310M400US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","320501","3499","243515","4492","76986","3398",
"310M400US11020","Altoona, PA Metro Area","51096","1366","36745","1581","14351","1438",
"310M400US11100","Amarillo, TX Metro Area","98518","2047","80297","2333","18221","1549",
"310M400US11180","Ames, IA Metro Area","37290","1491","31278","1820","6012","935",
"310M400US11260","Anchorage, AK Metro Area","137483","2265","117901","2464","19582","1509",
"310M400US11460","Ann Arbor, MI Metro Area","143072","1755","116621","2256","26451","1704",
"310M400US11500","Anniston-Oxford-Jacksonville, AL Metro Area","44264","1834","31063","2095","13201","1425",
"310M400US11540","Appleton, WI Metro Area","94810","1159","75867","1627","18943","1275",
"310M400US11640","Arecibo, PR Metro Area","64093","2379","32297","2411","31796","2095",
"310M400US11700","Asheville, NC Metro Area","191889","3895","135919","4315","55970","2972",
"310M400US11780","Ashtabula, OH Micro Area","35445","1483","25085","1555","10360","1030",
"310M400US11900","Athens, OH Micro Area","22533","1137","15374","1345","7159","1090",
"310M400US11980","Athens, TX Micro Area","30843","1659","20177","1641","10666","1515",
"310M400US12020","Athens-Clarke County, GA Metro Area","79945","2038","64589","2449","15356","1544",
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","2137280","9772","1780032","11125","357248","7149",
"310M400US12100","Atlantic City-Hammonton, NJ Metro Area","96981","2649","74239","2759","22742","1628",
"310M400US12180","Auburn, NY Micro Area","30083","1041","21593","1288","8490","1000",
"310M400US12220","Auburn-Opelika, AL Metro Area","59336","1847","44030","2550","15306","1934",
"310M400US12260","Augusta-Richmond County, GA-SC Metro Area","214107","4474","158935","4695","55172","3387",
"310M400US12300","Augusta-Waterville, ME Micro Area","54299","1620","39350","2069","14949","1493",
"310M400US12420","Austin-Round Rock, TX Metro Area","786341","6748","681509","7304","104832","4567",
"310M400US12540","Bakersfield, CA Metro Area","273167","3833","214415","4776","58752","3430",
"310M400US12580","Baltimore-Columbia-Towson, MD Metro Area","1054226","5820","842592","7906","211634","5278",
"310M400US12620","Bangor, ME Metro Area","61765","1822","43838","2299","17927","1715",
"310M400US12700","Barnstable Town, MA Metro Area","86671","2983","60541","3005","26130","1971",
"310M400US12940","Baton Rouge, LA Metro Area","301509","4666","231791","4858","69718","3540",
"310M400US12980","Battle Creek, MI Metro Area","53914","1330","39905","1531","14009","1101",
"310M400US13020","Bay City, MI Metro Area","44469","1080","30652","1439","13817","1149",
"310M400US13140","Beaumont-Port Arthur, TX Metro Area","145130","3504","107362","3399","37768","2233",
"310M400US13180","Beaver Dam, WI Micro Area","35221","877","27957","1071","7264","761",
"310M400US13220","Beckley, WV Metro Area","48632","1790","32616","2024","16016","1596",
"310M400US13380","Bellingham, WA Metro Area","87080","2014","67226","2361","19854","1457",
