"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With earnings","Margin of Error!!Total:!!With earnings","Estimate!!Total:!!No earnings","Margin of Error!!Total:!!No earnings",
"310M600US10140","Aberdeen, WA Micro Area","30500","1360","19858","1397","10642","1177",
"310M600US10180","Abilene, TX Metro Area","66816","2071","52362","2485","14454","1446",
"310M600US10300","Adrian, MI Micro Area","38963","1037","27843","1176","11120","1165",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","107572","3213","52791","2627","54781","2836",
"310M600US10420","Akron, OH Metro Area","292156","3813","215528","4451","76628","3366",
"310M600US10460","Alamogordo, NM Micro Area","24034","1534","16404","1574","7630","1118",
"310M600US10500","Albany, GA Metro Area","57880","1877","42133","2556","15747","1645",
"310M600US10540","Albany-Lebanon, OR Metro Area","51347","743","37691","1565","13656","1453",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","378258","4293","283679","5555","94579","3965",
"310M600US10700","Albertville, AL Micro Area","36003","1538","25052","1655","10951","1196",
"310M600US10740","Albuquerque, NM Metro Area","376596","2725","280105","4637","96491","4571",
"310M600US10780","Alexandria, LA Metro Area","55249","2079","40518","2256","14731","1480",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","337283","2796","257625","3701","79658","3418",
"310M600US11020","Altoona, PA Metro Area","49795","1439","34310","1703","15485","1188",
"310M600US11100","Amarillo, TX Metro Area","104421","2600","81301","2974","23120","2041",
"310M600US11180","Ames, IA Metro Area","49702","1209","39664","1736","10038","1279",
"310M600US11260","Anchorage, AK Metro Area","150581","2397","124474","3198","26107","2096",
"310M600US11460","Ann Arbor, MI Metro Area","149133","2646","121370","3109","27763","1867",
"310M600US11500","Anniston-Oxford, AL Metro Area","44631","1889","29394","2131","15237","1643",
"310M600US11540","Appleton, WI Metro Area","98164","1195","77647","1937","20517","1515",
"310M600US11640","Arecibo, PR Metro Area","61581","2596","31700","2407","29881","2433",
"310M600US11700","Asheville, NC Metro Area","185423","4084","126681","4464","58742","3148",
"310M600US11780","Ashtabula, OH Micro Area","39915","1458","27367","1631","12548","1186",
"310M600US11980","Athens, TX Micro Area","32576","1700","20370","1785","12206","1405",
"310M600US12020","Athens-Clarke County, GA Metro Area","87263","2236","70262","2836","17001","1897",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","2277482","9375","1886342","12678","391140","10833",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","112299","2238","83738","2768","28561","2134",
"310M600US12180","Auburn, NY Micro Area","32392","1168","22714","1272","9678","782",
"310M600US12220","Auburn-Opelika, AL Metro Area","67358","2031","54023","2300","13335","1914",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","222266","4648","162209","5025","60057","3700",
"310M600US12300","Augusta-Waterville, ME Micro Area","53803","1519","38422","1898","15381","1272",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","955207","6768","820620","8836","134587","6134",
"310M600US12540","Bakersfield, CA Metro Area","282963","3285","218824","5247","64139","3945",
"310M600US12580","Baltimore-Columbia-Towson, MD Metro Area","1117510","4973","888169","7874","229341","6282",
"310M600US12620","Bangor, ME Metro Area","65441","1509","47064","2027","18377","1712",
"310M600US12660","Baraboo, WI Micro Area","27524","938","21561","1105","5963","558",
"310M600US12700","Barnstable Town, MA Metro Area","104733","3422","72544","3347","32189","1922",
"310M600US12940","Baton Rouge, LA Metro Area","328816","4698","249957","5586","78859","4340",
"310M600US12980","Battle Creek, MI Metro Area","53482","1180","38729","1762","14753","1300",
"310M600US13020","Bay City, MI Metro Area","45487","1115","30412","1488","15075","1312",
"310M600US13140","Beaumont-Port Arthur, TX Metro Area","148489","3223","113683","3728","34806","2678",
"310M600US13180","Beaver Dam, WI Micro Area","36286","829","28169","1087","8117","738",
"310M600US13220","Beckley, WV Metro Area","46282","1401","26538","1986","19744","1816",
"310M600US13380","Bellingham, WA Metro Area","92219","1978","69074","2784","23145","2257",
"310M600US13460","Bend, OR Metro Area","83763","2592","62174","3089","21589","2055",
"310M600US13740","Billings, MT Metro Area","77868","1475","58664","2191","19204","1754",
"310M600US13780","Binghamton, NY Metro Area","105514","1952","76991","2471","28523","1695",
"310M600US13820","Birmingham-Hoover, AL Metro Area","436615","4453","332176","6001","104439","4230",
"310M600US13900","Bismarck, ND Metro Area","52921","1716","41275","1972","11646","1353",
"310M600US13980","Blacksburg-Christiansburg, VA Metro Area","66952","2589","47258","2252","19694","1797",
"310M600US14010","Bloomington, IL Metro Area","69263","1481","53024","2002","16239","1652",
"310M600US14020","Bloomington, IN Metro Area","65340","2321","51970","2676","13370","1396",
"310M600US14100","Bloomsburg-Berwick, PA Metro Area","33496","1129","22915","1224","10581","1078",
"310M600US14140","Bluefield, WV-VA Micro Area","41692","1526","25890","2182","15802","1700",
"310M600US14260","Boise City, ID Metro Area","294959","3052","235734","4107","59225","3542",
"310M600US14460","Boston-Cambridge-Newton, MA-NH Metro Area","1920160","7378","1541950","10799","378210","8689",
"310M600US14500","Boulder, CO Metro Area","135607","1819","109955","2523","25652","1869",
"310M600US14540","Bowling Green, KY Metro Area","71929","2111","55405","2382","16524","1439",
"310M600US14580","Bozeman, MT Micro Area","48796","1670","40209","2171","8587","1297",
"310M600US14660","Brainerd, MN Micro Area","40853","1388","28757","1389","12096","842",
"310M600US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","106399","1838","79197","2450","27202","1779",
"310M600US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","357271","2972","286932","3839","70339","3244",
"310M600US15180","Brownsville-Harlingen, TX Metro Area","135734","2525","105545","3319","30189","2392",
"310M600US15260","Brunswick, GA Metro Area","46763","2462","32156","2782","14607","1889",
"310M600US15380","Buffalo-Cheektowaga, NY Metro Area","503845","3320","366980","5939","136865","4680",
"310M600US15500","Burlington, NC Metro Area","69343","1462","52181","1742","17162","1449",
"310M600US15540","Burlington-South Burlington, VT Metro Area","93290","1750","73946","2461","19344","1698",
"310M600US15680","California-Lexington Park, MD Metro Area","42078","1559","35194","1856","6884","1349",
"310M600US15940","Canton-Massillon, OH Metro Area","168332","2149","124835","2949","43497","2432",
"310M600US15980","Cape Coral-Fort Myers, FL Metro Area","320466","5688","207107","5883","113359","4088",
"310M600US16020","Cape Girardeau, MO-IL Metro Area","37991","1392","28937","1623","9054","1159",
"310M600US16060","Carbondale-Marion, IL Metro Area","55292","1759","38182","1985","17110","1493",
"310M600US16180","Carson City, NV Metro Area","23930","655","17083","1080","6847","921",
"310M600US16220","Casper, WY Metro Area","33203","1266","26273","1429","6930","1001",
"310M600US16300","Cedar Rapids, IA Metro Area","112468","1778","86500","2457","25968","1700",
"310M600US16500","Centralia, WA Micro Area","32304","1138","22386","1356","9918","1107",
"310M600US16540","Chambersburg-Waynesboro, PA Metro Area","62081","1420","44008","2029","18073","1743",
"310M600US16580","Champaign-Urbana, IL Metro Area","91044","2071","73373","2659","17671","1694",
"310M600US16620","Charleston, WV Metro Area","106310","2612","67264","3346","39046","2832",
"310M600US16700","Charleston-North Charleston, SC Metro Area","316378","5063","249439","5422","66939","3688",
"310M600US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","1048452","6412","853698","7760","194754","5229",
"310M600US16820","Charlottesville, VA Metro Area","88339","2084","67933","2661","20406","1862",
"310M600US16860","Chattanooga, TN-GA Metro Area","228853","3330","172467","4186","56386","3379",
"310M600US16940","Cheyenne, WY Metro Area","43728","654","32833","1465","10895","1362",
"310M600US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","3670416","9818","2910208","15815","760208","12352",
"310M600US17020","Chico, CA Metro Area","81353","1910","60202","2018","21151","1699",
"310M600US17060","Chillicothe, OH Micro Area","30550","843","22087","1304","8463","1126",
"310M600US17140","Cincinnati, OH-KY-IN Metro Area","903245","6118","699315","6971","203930","4924",
"310M600US17220","Clarksburg, WV Micro Area","35449","1521","24542","1648","10907","1326",
"310M600US17300","Clarksville, TN-KY Metro Area","121468","2242","95910","2815","25558","2599",
"310M600US17340","Clearlake, CA Micro Area","27472","1368","18637","1745","8835","1322",
"310M600US17420","Cleveland, TN Metro Area","50236","1491","36627","2070","13609","1536",
"310M600US17460","Cleveland-Elyria, OH Metro Area","890105","5188","658881","6627","231224","5472",
"310M600US17660","Coeur d'Alene, ID Metro Area","67771","2325","49560","2822","18211","2231",
"310M600US17780","College Station-Bryan, TX Metro Area","99917","3004","81608","3473","18309","1976",
"310M600US17820","Colorado Springs, CO Metro Area","294814","3282","244264","3940","50550","2913",
"310M600US17860","Columbia, MO Metro Area","84946","2238","68661","2435","16285","1702",
"310M600US17900","Columbia, SC Metro Area","334313","3701","257033","5197","77280","3930",
"310M600US17980","Columbus, GA-AL Metro Area","127247","2744","94096","3586","33151","2535",
"310M600US18020","Columbus, IN Metro Area","32518","999","27008","1380","5510","754",
"310M600US18140","Columbus, OH Metro Area","856193","4624","696553","6616","159640","5231",
"310M600US18180","Concord, NH Micro Area","58733","1291","44393","1560","14340","1300",
"310M600US18260","Cookeville, TN Micro Area","47816","1723","35945","1848","11871","1443",
"310M600US18500","Corning, NY Micro Area","39500","1100","27262","1377","12238","937",
"310M600US18580","Corpus Christi, TX Metro Area","153119","3053","120051","3677","33068","2479",
"310M600US18700","Corvallis, OR Metro Area","39350","903","29972","1541","9378","1275",
"310M600US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","118438","4091","91074","4237","27364","2340",
"310M600US18980","Cullman, AL Micro Area","35131","1361","26514","1789","8617","1254",
"310M600US19060","Cumberland, MD-WV Metro Area","40079","1480","26658","1641","13421","1548",
