"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M300US10140","Aberdeen, WA Micro Area","27330","1573","17782","1697","9548","992",
"310M300US10180","Abilene, TX Metro Area","59263","2157","45169","2174","14094","1460",
"310M300US10300","Adrian, MI Micro Area","37781","1320","29055","1267","8726","925",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","110316","3051","54767","2835","55549","2861",
"310M300US10420","Akron, OH Metro Area","284670","3364","213625","4097","71045","3020",
"310M300US10460","Alamogordo, NM Micro Area","22384","1623","16389","1807","5995","912",
"310M300US10500","Albany, GA Metro Area","57228","1908","44473","2230","12755","1311",
"310M300US10540","Albany, OR Metro Area","46645","1122","34016","1518","12629","1173",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","343069","3783","267553","4384","75516","3047",
"310M300US10700","Albertville, AL Micro Area","34726","1047","23748","1439","10978","1192",
"310M300US10740","Albuquerque, NM Metro Area","343912","3465","258645","4675","85267","3169",
"310M300US10780","Alexandria, LA Metro Area","55246","1956","40186","1844","15060","1335",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","317457","3206","247637","4450","69820","3337",
"310M300US11020","Altoona, PA Metro Area","51154","1222","35769","1694","15385","1101",
"310M300US11100","Amarillo, TX Metro Area","95619","1966","78320","1975","17299","1448",
"310M300US11180","Ames, IA Metro Area","37350","985","32585","1239","4765","812",
"310M300US11260","Anchorage, AK Metro Area","135554","2050","117851","2475","17703","1649",
"310M300US11460","Ann Arbor, MI Metro Area","140079","1822","114894","2679","25185","1806",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","43972","1687","30496","1882","13476","1330",
"310M300US11540","Appleton, WI Metro Area","92593","1261","75534","1693","17059","1117",
"310M300US11640","Arecibo, PR Metro Area","66520","2381","33527","2636","32993","2169",
"310M300US11700","Asheville, NC Metro Area","186656","3117","133317","3583","53339","2677",
"310M300US11780","Ashtabula, OH Micro Area","38728","1250","25367","1619","13361","1413",
"310M300US11900","Athens, OH Micro Area","21732","1142","15435","1194","6297","821",
"310M300US11980","Athens, TX Micro Area","30403","1432","20789","1511","9614","1202",
"310M300US12020","Athens-Clarke County, GA Metro Area","78195","1970","61117","2383","17078","1708",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","2062798","9936","1722477","10949","340321","7687",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","96777","2551","73544","2917","23233","1732",
"310M300US12180","Auburn, NY Micro Area","30966","1110","23021","1169","7945","804",
"310M300US12220","Auburn-Opelika, AL Metro Area","59354","1783","46796","1994","12558","1307",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","219167","3417","164831","3860","54336","3021",
"310M300US12300","Augusta-Waterville, ME Micro Area","47791","1833","34956","1836","12835","1446",
"310M300US12420","Austin-Round Rock, TX Metro Area","741176","5596","639342","5713","101834","3787",
"310M300US12540","Bakersfield, CA Metro Area","270359","3011","211715","4429","58644","3496",
