"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With earnings","Margin of Error!!Total:!!With earnings","Estimate!!Total:!!No earnings","Margin of Error!!Total:!!No earnings",
"310M500US10140","Aberdeen, WA Micro Area","29920","1485","20945","1627","8975","1258",
"310M500US10180","Abilene, TX Metro Area","61750","2032","48218","2391","13532","1680",
"310M500US10300","Adrian, MI Micro Area","38499","1322","27836","1340","10663","1118",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","101568","3005","47957","2417","53611","2792",
"310M500US10420","Akron, OH Metro Area","285647","3498","217528","4365","68119","3187",
"310M500US10460","Alamogordo, NM Micro Area","24133","1355","17053","1529","7080","1014",
"310M500US10500","Albany, GA Metro Area","54128","2054","37237","2336","16891","1662",
"310M500US10540","Albany-Lebanon, OR Metro Area","49407","868","36777","1472","12630","1317",
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","362502","3865","277828","5163","84674","3262",
"310M500US10700","Albertville, AL Micro Area","35330","1274","24479","1283","10851","1062",
"310M500US10740","Albuquerque, NM Metro Area","354359","3837","270611","5014","83748","3420",
"310M500US10780","Alexandria, LA Metro Area","55591","2245","40540","2374","15051","1707",
"310M500US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","322301","3595","244408","4881","77893","3710",
"310M500US11020","Altoona, PA Metro Area","52497","1379","36743","1401","15754","1175",
"310M500US11100","Amarillo, TX Metro Area","98606","2077","77723","2485","20883","1713",
"310M500US11180","Ames, IA Metro Area","50253","1121","41031","1447","9222","1007",
"310M500US11260","Anchorage, AK Metro Area","137934","2444","114632","2811","23302","1906",
"310M500US11460","Ann Arbor, MI Metro Area","141680","2021","116770","2634","24910","1787",
"310M500US11500","Anniston-Oxford, AL Metro Area","44636","2010","31064","2230","13572","1650",
"310M500US11540","Appleton, WI Metro Area","94937","1204","75327","1644","19610","1291",
"310M500US11640","Arecibo, PR Metro Area","65208","2050","33408","2250","31800","2244",
"310M500US11700","Asheville, NC Metro Area","193451","4408","137552","4180","55899","2983",
"310M500US11780","Ashtabula, OH Micro Area","39490","1420","27915","1534","11575","1197",
"310M500US11900","Athens, OH Micro Area","22659","1283","15890","1451","6769","897",
"310M500US11980","Athens, TX Micro Area","30607","1358","20786","1664","9821","1438",
"310M500US12020","Athens-Clarke County, GA Metro Area","82655","1807","66268","2465","16387","2121",
"310M500US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","2189294","8398","1818619","11574","370675","9540",
"310M500US12100","Atlantic City-Hammonton, NJ Metro Area","101975","2606","74859","3287","27116","2054",
"310M500US12180","Auburn, NY Micro Area","31489","1126","23487","1209","8002","836",
"310M500US12220","Auburn-Opelika, AL Metro Area","64448","1810","52250","2315","12198","1792",
"310M500US12260","Augusta-Richmond County, GA-SC Metro Area","211969","5075","156146","5018","55823","3219",
"310M500US12300","Augusta-Waterville, ME Micro Area","54480","1522","40109","1834","14371","1341",
"310M500US12420","Austin-Round Rock-Georgetown, TX Metro Area","818084","6935","708773","8265","109311","4997",
"310M500US12540","Bakersfield, CA Metro Area","272888","3419","210998","4446","61890","3730",
"310M500US12580","Baltimore-Columbia-Towson, MD Metro Area","1062901","6358","842653","7653","220248","6039",
"310M500US12620","Bangor, ME Metro Area","64096","1680","46398","1878","17698","1241",
"310M500US12700","Barnstable Town, MA Metro Area","96509","3685","68793","3271","27716","2000",
"310M500US12940","Baton Rouge, LA Metro Area","305441","5783","235052","6209","70389","3493",
"310M500US12980","Battle Creek, MI Metro Area","53827","1840","39087","1964","14740","1047",
"310M500US13020","Bay City, MI Metro Area","44887","1117","30924","1789","13963","1350",
"310M500US13140","Beaumont-Port Arthur, TX Metro Area","142135","3187","109001","3442","33134","2225",
"310M500US13180","Beaver Dam, WI Micro Area","35104","947","27384","1187","7720","802",
"310M500US13220","Beckley, WV Metro Area","49117","1593","31783","1999","17334","1528",
"310M500US13380","Bellingham, WA Metro Area","88794","2439","66683","3025","22111","2028",
"310M500US13460","Bend, OR Metro Area","76528","2717","56535","3088","19993","2451",
"310M500US13740","Billings, MT Metro Area","78108","1542","61583","1983","16525","1678",
"310M500US13780","Binghamton, NY Metro Area","99300","2252","69937","3103","29363","2117",
"310M500US13820","Birmingham-Hoover, AL Metro Area","428665","4441","323857","6046","104808","4477",
"310M500US13900","Bismarck, ND Metro Area","52396","1908","41556","1985","10840","1327",
"310M500US13980","Blacksburg-Christiansburg, VA Metro Area","62114","2224","45570","2280","16544","1755",
"310M500US14010","Bloomington, IL Metro Area","65118","1761","48701","1987","16417","1776",
"310M500US14020","Bloomington, IN Metro Area","62229","2046","48483","2365","13746","1801",
"310M500US14100","Bloomsburg-Berwick, PA Metro Area","33738","1131","25282","1323","8456","864",
"310M500US14140","Bluefield, WV-VA Micro Area","43697","1608","27471","2266","16226","2018",
"310M500US14260","Boise City, ID Metro Area","275681","2719","218884","4584","56797","3656",
"310M500US14460","Boston-Cambridge-Newton, MA-NH Metro Area","1855763","7355","1495112","9798","360651","8428",
"310M500US14500","Boulder, CO Metro Area","131854","2047","109236","2745","22618","2020",
"310M500US14540","Bowling Green, KY Metro Area","66318","1825","51790","2207","14528","1673",
"310M500US14580","Bozeman, MT Micro Area","46990","1210","40922","1421","6068","838",
