"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M300US15980","Cape Coral-Fort Myers, FL Metro Area","266266","6274","170818","5749","95448","4610",
"310M300US16020","Cape Girardeau, MO-IL Metro Area","37032","1491","27368","1719","9664","1228",
"310M300US16060","Carbondale-Marion, IL Metro Area","50153","1670","36141","1924","14012","1178",
"310M300US16180","Carson City, NV Metro Area","22773","562","16874","928","5899","876",
"310M300US16220","Casper, WY Metro Area","32556","1241","26651","1465","5905","773",
"310M300US16300","Cedar Rapids, IA Metro Area","107802","2042","88430","2264","19372","1652",
"310M300US16500","Centralia, WA Micro Area","31786","995","22808","1284","8978","1009",
"310M300US16540","Chambersburg-Waynesboro, PA Metro Area","60979","1311","45205","1667","15774","1471",
"310M300US16580","Champaign-Urbana, IL Metro Area","95429","2138","73849","2493","21580","2101",
"310M300US16620","Charleston, WV Metro Area","87463","2774","58463","2619","29000","2088",
"310M300US16700","Charleston-North Charleston, SC Metro Area","290586","3775","232052","4826","58534","3059",
"310M300US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","944261","5666","767409","6649","176852","4757",
"310M300US16820","Charlottesville, VA Metro Area","88632","2497","69494","2659","19138","1742",
"310M300US16860","Chattanooga, TN-GA Metro Area","220186","2986","159650","3925","60536","3101",
"310M300US16940","Cheyenne, WY Metro Area","39054","1455","30209","1929","8845","1556",
"310M300US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","3488312","11436","2800656","14998","687656","10739",
"310M300US17020","Chico, CA Metro Area","88797","2187","61728","2953","27069","1950",
"310M300US17060","Chillicothe, OH Micro Area","27914","1433","20194","1458","7720","997",
"310M300US17140","Cincinnati, OH-KY-IN Metro Area","852639","4787","675609","6575","177030","4510",
"310M300US17200","Claremont-Lebanon, NH-VT Micro Area","86458","2765","66181","3008","20277","1777",
"310M300US17220","Clarksburg, WV Micro Area","35736","1237","25537","1543","10199","1228",
"310M300US17300","Clarksville, TN-KY Metro Area","105056","2643","84783","2835","20273","1791",
"310M300US17340","Clearlake, CA Micro Area","27399","1363","18340","1532","9059","1264",
"310M300US17420","Cleveland, TN Metro Area","47923","1095","36512","1568","11411","1393",
"310M300US17460","Cleveland-Elyria, OH Metro Area","862586","5146","638594","6336","223992","4492",
"310M300US17660","Coeur d'Alene, ID Metro Area","60383","1911","44555","2306","15828","1552",
"310M300US17780","College Station-Bryan, TX Metro Area","91999","2597","74723","3166","17276","2176",
"310M300US17820","Colorado Springs, CO Metro Area","268122","2621","217548","3369","50574","2660",
"310M300US17860","Columbia, MO Metro Area","70355","1728","57414","2398","12941","1571",
"310M300US17900","Columbia, SC Metro Area","309760","4276","242288","4900","67472","3070",
"310M300US17980","Columbus, GA-AL Metro Area","112937","2704","82704","3551","30233","2273",
"310M300US18020","Columbus, IN Metro Area","31498","1173","24369","1443","7129","970",
"310M300US18140","Columbus, OH Metro Area","788946","4874","642733","6142","146213","5402",
